127.0.0.1 - - [11/May/2015:11:51:22 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/May/2015:11:51:38 -0500] "GET /project5/faces/album.jsp HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [11/May/2015:11:51:56 -0500] "POST /project5/faces/album.jsp;jsessionid=CC9D0757A26B3937CB6D823A6E437BDE HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [11/May/2015:11:51:59 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6567
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:11 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:15 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:21 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:25 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:32 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:36 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:44 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:46 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:54 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [11/May/2015:11:52:56 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:53:04 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [11/May/2015:11:53:06 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [11/May/2015:11:53:12 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [11/May/2015:11:53:14 -0500] "POST /project5/faces/album.jsp HTTP/1.1" 200 6567
